model,cutoff,m_precision,recall,positive,f_measure
1_2,0.15,27.92%,78.28%,47.96%,59.48%
2_3,0.14,29.00%,79.78%,49.96%,61.44%
3_4,0.14,27.08%,66.62%,35.55%,46.36%
4_5,0.09,18.84%,89.16%,48.40%,62.74%
5_6,0.09,21.41%,78.01%,47.27%,58.87%
6_7,0.08,17.57%,82.07%,45.81%,58.80%
7_8,0.07,15.94%,86.87%,42.85%,57.39%
8_9,0.06,13.23%,96.80%,47.97%,64.15%
9_10,0.06,13.97%,81.58%,46.70%,59.40%
10_11,0.06,13.37%,81.58%,41.95%,55.41%
11_12,0.05,11.70%,94.18%,48.54%,64.06%
12_13,0.05,11.76%,87.75%,44.43%,58.99%
13_14,0.05,11.67%,85.76%,40.96%,55.44%
14_15,0.05,11.58%,84.99%,37.76%,52.29%
15_16,0.04,9.39%,94.15%,47.22%,62.90%
16_17,0.04,9.34%,94.11%,43.67%,59.65%
17_18,0.04,11.41%,87.47%,43.04%,57.69%
18_19,0.04,14.12%,86.63%,44.16%,58.50%
19_20,0.04,12.58%,86.69%,45.25%,59.46%
20_21,0.04,12.58%,86.69%,45.68%,59.83%
21_22,0.04,12.26%,86.06%,44.32%,58.51%
22_23,0.04,12.90%,83.97%,43.67%,57.46%
23_24,0.07,15.94%,86.87%,42.85%,57.39%
24_25,0.04,13.05%,83.57%,43.28%,57.02%
25_26,0.04,12.47%,83.57%,42.57%,56.41%
26_27,0.04,12.28%,78.83%,43.82%,56.33%
27_28,0.04,12.50%,80.03%,45.76%,58.23%
28_29,0.04,11.97%,80.36%,46.50%,58.91%
29_30,0.04,12.31%,81.37%,48.00%,60.39%
30_31,0.04,11.90%,82.01%,49.13%,61.44%
31_32,0.04,11.19%,82.01%,49.56%,61.79%
